x,y,z,x0,y0,z0
-0.00430836,-0.0105257,1.85748,0.999969,-0.0012877,-0.0077465
-0.033719,-0.0138973,2.71741,0.999934,-0.00110477,-0.0114725
-0.0452966,-0.0187396,3.57675,0.999862,0.000722185,-0.0165925
-0.032444,-0.0614994,4.43602,0.999747,-0.000349694,-0.0225061
-0.0513959,-0.0771275,5.29507,0.999631,0.00176916,-0.0271204
-0.0766214,-0.0888492,6.15516,0.999464,0.00384227,-0.0324972
-0.0559443,-0.0982076,7.0143,0.999194,0.00388355,-0.0399432
-0.0974351,-0.119577,7.87334,0.999023,0.00339627,-0.0440547
-0.130682,-0.121126,8.7333,0.998853,0.00256065,-0.0478099
-0.198213,-0.104861,9.58962,0.998703,0.00465171,-0.0507101
-0.238577,-0.115526,10.449,0.998568,0.00394004,-0.0533481
-0.299869,-0.122003,11.3072,0.998493,0.000344988,-0.0548829
-0.351958,-0.121731,12.1652,0.998357,-0.000514183,-0.057296
-0.400751,-0.128796,13.0196,0.998246,-0.00281479,-0.0591289
-0.451346,-0.155128,13.8814,0.998092,9.69E-05,-0.0617484
-0.500458,-0.171615,14.7506,0.998002,0.00104214,-0.0631743
-0.550348,-0.196738,15.6305,0.997779,0.00281831,-0.0665561
-0.623983,-0.213377,16.5192,0.997733,0.00402843,-0.0671769
-0.686112,-0.236403,17.4185,0.997601,0.00188247,-0.0691933
-0.751813,-0.257239,18.322,0.997483,0.00210119,-0.0708741
-0.822876,-0.27613,19.2321,0.997446,0.00173648,-0.0714091
-0.896102,-0.277989,20.1442,0.997282,-0.000579292,-0.0736702
-0.980976,-0.301477,21.0585,0.997278,-0.00168523,-0.0737166
-1.05098,-0.325982,21.9842,0.997298,-0.00158105,-0.0734391
-1.12715,-0.332535,22.9173,0.997285,-0.00114941,-0.0736276
-1.20179,-0.343904,23.8516,0.99733,-0.00151104,-0.0730079
-1.2742,-0.340552,24.7928,0.997508,-0.00216418,-0.0705244
-1.33413,-0.336903,25.7378,0.99755,-0.00497552,-0.0697845
-1.39879,-0.340054,26.685,0.99766,-0.00521611,-0.0681696
-1.45003,-0.339644,27.6369,0.997676,-0.00435065,-0.0679936
-1.53915,-0.330886,28.5927,0.997751,-0.00675422,-0.0666851
-1.55486,-0.344434,29.5624,0.99774,-0.00895072,-0.06659
-1.5922,-0.373065,30.5383,0.9977,-0.00875384,-0.0672127
-1.66991,-0.380728,31.516,0.997643,-0.0118787,-0.0675815
-1.72394,-0.394852,32.495,0.997477,-0.0185369,-0.0685247
-1.7758,-0.405454,33.4742,0.997361,-0.0187687,-0.0701342
-1.8542,-0.429354,34.4566,0.997253,-0.0184715,-0.0717325
-1.94128,-0.434984,35.4662,0.997134,-0.0166443,-0.0738023
-2.01507,-0.451535,36.5239,0.99701,-0.0178182,-0.0751898
